3008000, -5629.818723223516
3010000, -5629.3470422412765
3012000, -5628.89360721341
3014000, -5629.594438859712
3016000, -5629.491263201815
3018000, -5628.2220700460575
3020000, -5629.047847630791
3022000, -5628.052593098866
3024000, -5627.184413942075
3026000, -5628.02147904925
3028000, -5627.169048100476
3030000, -5629.322663375934
3032000, -5628.783667836339
3034000, -5628.418027634141
3036000, -5629.18308758786
3038000, -5627.740921229035
3040000, -5627.765857790361
3042000, -5627.679014985604
3044000, -5627.001590637363
3046000, -5626.980801946526
3048000, -5626.5219323947
3050000, -5627.6216110184005
3052000, -5627.323609122223
3054000, -5628.2397475007465
3056000, -5629.078868845478
3058000, -5629.577883471765
3060000, -5630.817375778368
3062000, -5631.986258132533
3064000, -5631.446730255038
3066000, -5631.380534944558
3068000, -5630.717425085891
3070000, -5630.305379388334
3072000, -5630.746688446247
3074000, -5631.373311596984
3076000, -5630.683234004735
3078000, -5631.768580818783
3080000, -5631.02321551265
3082000, -5631.930725847951
3084000, -5632.527501522991
3086000, -5632.976333367751
3088000, -5633.364093227726
3090000, -5633.197514409246
3092000, -5631.8225107963
3094000, -5632.002677116109
3096000, -5631.604507630108
3098000, -5631.616181549388
3100000, -5630.7626836259315
3102000, -5629.537966383891
3104000, -5628.351363640408
3106000, -5628.912460418613
3108000, -5628.980252538047
3110000, -5628.510885934099
3112000, -5628.7294878431285
3114000, -5628.113874256348
3116000, -5627.4133944613095
3118000, -5627.394472541158
3120000, -5627.128861372517
3122000, -5626.585275835421
3124000, -5626.00913927197
3126000, -5625.407237631323
3128000, -5626.027186491503
3130000, -5626.933566470364
3132000, -5626.526485941323
3134000, -5625.796545126459
3136000, -5626.509900437414
3138000, -5627.429419608963
3140000, -5627.74582035115
3142000, -5628.199549905568
3144000, -5629.293143598503
3146000, -5629.411676428378
3148000, -5631.0624918427775
3150000, -5630.522402207434
3152000, -5630.478178695406
3154000, -5631.027353740163
3156000, -5630.95660402053
3158000, -5630.896150069292
3160000, -5630.977172776077
3162000, -5631.456968372523
3164000, -5632.103856510548
3166000, -5632.04497810826
3168000, -5631.586387012981
3170000, -5631.424676026328
3172000, -5631.245531234093
3174000, -5631.364695009894
3176000, -5631.210010140728
3178000, -5630.930476202325
3180000, -5630.870201639999
3182000, -5631.51423422177
3184000, -5632.581461075502
3186000, -5633.786119285845
3188000, -5634.69601063713
3190000, -5635.57790813216
3192000, -5635.263557382625
3194000, -5634.754335024157
3196000, -5635.076389226767
3198000, -5635.254694424957
3200000, -5633.704393931092
3202000, -5633.0451384031685
3204000, -5631.808518463477
3206000, -5631.258153013612
3208000, -5631.280692827181
3210000, -5630.670838028896
3212000, -5631.478710502974
3214000, -5632.7395482198435
3216000, -5631.331671765424
3218000, -5632.217316804157
3220000, -5632.93035120079
3222000, -5633.710862773596
3224000, -5633.090246826147
3226000, -5633.340188672634
3228000, -5632.857295989058
3230000, -5632.075249558705
3232000, -5631.16405934936
3234000, -5631.469784781209
3236000, -5631.6147516065475
3238000, -5630.198631446388
3240000, -5629.6865792850285
3242000, -5629.2286621683625
3244000, -5629.891491240911
3246000, -5629.767686988121
3248000, -5629.841145745031
3250000, -5629.563163558576
3252000, -5629.932432906391
3254000, -5629.72938691391
3256000, -5629.082486472826
3258000, -5629.235987945655
3260000, -5628.93302502039
3262000, -5629.987977587627
3264000, -5629.687803439311
3266000, -5629.533370047067
3268000, -5630.607222271001
3270000, -5630.004884581618
3272000, -5629.974918311948
3274000, -5630.217585855151
3276000, -5631.057117873153
3278000, -5630.581390138364
3280000, -5629.970197512814
3282000, -5629.040461507809
3284000, -5630.379404838665
3286000, -5629.733742821505
3288000, -5629.418264296109
3290000, -5629.713074258998
3292000, -5630.3663749385705
3294000, -5629.533225880781
3296000, -5629.666480993108
3298000, -5629.493025528382
3300000, -5630.84875869236
3302000, -5630.627753127617
3304000, -5629.652343772628
3306000, -5630.789221782231
3308000, -5631.051834042841
3310000, -5631.282690818629
3312000, -5631.218575677153
3314000, -5631.814894067655
3316000, -5632.35485317183
3318000, -5632.647825664065
3320000, -5632.456459101517
3322000, -5632.791818556789
3324000, -5632.645124750344
3326000, -5632.23332097074
3328000, -5631.233645078677
3330000, -5631.2040024640355
3332000, -5630.75045489718
3334000, -5629.820491214153
3336000, -5629.2285834529575
3338000, -5628.869731764915
3340000, -5628.616581827862
3342000, -5628.133411781922
3344000, -5628.925934064384
3346000, -5629.290808638937
3348000, -5629.487942639017
3350000, -5629.614262327921
3352000, -5628.84384536534
3354000, -5628.085926374534
3356000, -5628.137067902816
3358000, -5628.027635512528
3360000, -5627.372211842637
3362000, -5627.459288600687
3364000, -5627.195017627335
3366000, -5627.360612050446
3368000, -5627.608774383757
3370000, -5626.964229779036
3372000, -5626.097638303753
3374000, -5626.253245889059
3376000, -5626.167274375687
3378000, -5625.719265670043
3380000, -5625.512211245821
3382000, -5626.201910393989
3384000, -5625.889354098279
3386000, -5625.971138337956
3388000, -5625.94857234222
3390000, -5624.936221488459
3392000, -5624.915989151189
3394000, -5624.481867490093
3396000, -5625.583669589894
3398000, -5624.749519690055
3400000, -5625.021986567383
3402000, -5624.598357635859
3404000, -5623.764808894924
3406000, -5623.395309427271
3408000, -5623.321571148597
3410000, -5623.657868573828
3412000, -5623.492711502663
3414000, -5623.772192421367
3416000, -5623.874654922005
3418000, -5623.88117661894
3420000, -5623.337468633676
3422000, -5623.563416595378
3424000, -5623.051653677664
3426000, -5623.533955348539
3428000, -5624.615868938617
3430000, -5624.564210512017
3432000, -5623.783425997319
3434000, -5624.740797798458
