Wall time,Step,Value
1730879357.6957004,15000,-1.4722610712051392
1730879389.6762922,30000,-0.6542710661888123
1730879411.5751553,45000,-1.5141336917877197
1730879428.9534829,60000,-3.5926294326782227
1730879447.6305704,75000,-2.0270776748657227
1730879465.990733,90000,-1.9226717948913574
1730879496.6007345,105000,-1.1109620332717896
1730879528.428853,120000,-2.331714630126953
1730879552.355929,135000,-1.4413025379180908
1730879577.5468705,150000,-1.7732435464859009
1730879599.0643358,165000,-3.4056999683380127
1730879618.6285152,180000,-2.4652764797210693
1730879636.7785683,195000,-1.0409637689590454
1730879655.2563782,210000,-1.8122714757919312
1730879674.1109624,225000,-1.3829967975616455
1730879694.0419292,240000,-1.6127773523330688
1730879711.773855,255000,-1.9441601037979126
1730879728.8712473,270000,-1.7181048393249512
1730879746.2000105,285000,-0.879713773727417
1730879764.7206988,300000,-2.771597146987915
1730879782.8919847,315000,-1.035678744316101
1730879800.558637,330000,-1.338948130607605
1730879828.2134774,345000,-1.7429077625274658
1730879856.1540587,360000,-2.5072181224823
1730879883.1901538,375000,-1.1026262044906616
1730879913.827381,390000,-2.0132181644439697
1730879939.203541,405000,-1.5811436176300049
1730879958.2285137,420000,-1.679463505744934
1730879976.5912397,435000,-2.202914237976074
1730880073.148116,450000,-1.4036818742752075
1730880110.9000242,465000,-2.3656156063079834
1730880144.8332055,480000,-1.3104709386825562
1730880185.228112,495000,-1.0567032098770142
1730880226.7048323,510000,-1.1543476581573486
1730880259.7475605,525000,-2.6874706745147705
1730880328.072289,540000,-1.6276670694351196
1730880366.6320508,555000,-2.4652884006500244
1730880413.0009296,570000,-1.0675265789031982
1730880465.8447876,585000,-1.6829426288604736
1730880521.3096757,600000,-1.1182407140731812
1730880563.011466,615000,-2.8733859062194824
1730880611.3060782,630000,-1.7989521026611328
1730880658.7129738,645000,-1.2519598007202148
1730880707.1445801,660000,-2.0773837566375732
1730880761.4866915,675000,-1.5740151405334473
1730880803.8422241,690000,-1.5700607299804688
1730880842.3537414,705000,-0.9594948887825012
1730880883.838146,720000,-1.4592448472976685
1730880921.6461227,735000,-3.3043365478515625
1730881006.8532898,750000,-1.3377933502197266
1730881090.293001,765000,-2.0946078300476074
1730881161.471842,780000,-1.1986229419708252
1730881218.5637414,795000,-2.1797590255737305
1730881282.9127803,810000,-1.2736419439315796
1730881336.6228178,825000,-0.9944787621498108
1730881411.7174199,840000,-2.0569002628326416
1730881496.4802876,855000,-1.4915090799331665
1730881600.8418393,870000,-1.0000706911087036
1730881678.153071,885000,-2.1902987957000732
1730881825.8971124,900000,-1.872597336769104
1730881997.9716516,915000,-1.2603281736373901
1730882215.8042698,930000,-0.8828473687171936
1730882292.8627899,945000,-1.7877787351608276
1730882363.9058254,960000,-1.8436726331710815
1730882421.5209818,975000,-1.7864301204681396
1730882485.9231036,990000,-2.765415906906128
1730882529.5542753,1005000,-2.1782407760620117
1730882648.7742932,1020000,-1.6497669219970703
1730882707.632929,1035000,-1.8917170763015747
1730882846.1601577,1050000,-1.7182815074920654
1730882928.5941532,1065000,-0.6203907132148743
1730883029.7610927,1080000,-2.022373676300049
1730883097.7063465,1095000,-1.0239622592926025
1730883150.2775161,1110000,-1.7294646501541138
1730883204.6912792,1125000,-1.9723001718521118
1730883266.1200469,1140000,-1.2812587022781372
1730883313.1045814,1155000,-1.5948799848556519
1730883375.0669427,1170000,-1.22028386592865
1730883420.3675835,1185000,-1.5333091020584106
1730883456.5734158,1200000,-1.3353352546691895
1730883507.6510968,1215000,-1.182466983795166
1730883543.154229,1230000,-2.431842565536499
1730883654.935976,1245000,-2.1672451496124268
1730883727.5120664,1260000,-1.3788515329360962
1730883789.074086,1275000,-1.8169264793395996
1730883846.3116095,1290000,-1.3360010385513306
1730883931.5847123,1305000,-1.1645337343215942
1730883980.8419333,1320000,-1.8382467031478882
1730884048.8161883,1335000,-1.1472314596176147
1730884108.82586,1350000,-2.3371198177337646
1730884230.9043696,1365000,-2.759953022003174
1730884331.6163235,1380000,-1.8654056787490845
1730884381.693381,1395000,-2.7109010219573975
1730884464.0158849,1410000,-2.701356887817383
1730884521.014571,1425000,-0.8142235279083252
1730884568.5604932,1440000,-1.8388557434082031
1730884617.8031564,1455000,-1.5549793243408203
1730884717.5024717,1470000,-1.9775737524032593
1730884832.495866,1485000,-1.322251319885254
1730884869.7545652,1500000,-1.382568359375
1730884912.927205,1515000,-1.6607555150985718
1730884949.968226,1530000,-2.029705286026001
1730884982.188153,1545000,-0.8283565640449524
1730885008.3513923,1560000,-0.7616671919822693
1730885039.1250172,1575000,-1.1242449283599854
1730885087.5385995,1590000,-1.0947240591049194
1730885113.2258804,1605000,-1.5547263622283936
1730885148.1844625,1620000,-1.2438474893569946
1730885186.456195,1635000,-2.2652719020843506
1730885220.345729,1650000,-0.9842924475669861
1730885255.1012511,1665000,-2.004852294921875
1730885285.7381938,1680000,-2.3916656970977783
1730885330.4567525,1695000,-1.772283911705017
1730885360.4347575,1710000,-1.281674861907959
1730885387.4383607,1725000,-1.3268311023712158
1730885418.4609888,1740000,-3.5388667583465576
1730885448.6420033,1755000,-1.2611768245697021
1730885477.8077555,1770000,-1.5015325546264648
1730885505.6491406,1785000,-1.3233999013900757
1730885534.1398854,1800000,-0.9763902425765991
1730885585.0610049,1815000,-1.7757755517959595
1730885631.7024379,1830000,-1.7195738554000854
1730885671.7342973,1845000,-1.7454655170440674
1730885719.7220592,1860000,-1.3367716073989868
1730885765.476163,1875000,-2.4036917686462402
1730885816.092189,1890000,-0.786207377910614
1730885850.6008692,1905000,-1.3967838287353516
1730885883.774102,1920000,-0.9662234783172607
1730885922.9292424,1935000,-1.920393943786621
1730885971.9478996,1950000,-1.1513934135437012
1730886005.6269436,1965000,-1.2169244289398193
1730886040.1461136,1980000,-2.0552942752838135
1730886086.6296418,1995000,-1.182799220085144
1730886119.662765,2010000,-1.4036223888397217
1730886153.2930353,2025000,-1.4896085262298584
1730886184.5481977,2040000,-1.6701855659484863
1730886222.5959516,2055000,-1.5206743478775024
1730886260.3129463,2070000,-1.4076200723648071
1730886314.5872827,2085000,-1.639366626739502
1730886364.211287,2100000,-1.7944167852401733
1730886440.0497978,2115000,-1.415065050125122
1730886518.0879745,2130000,-0.9021271467208862
1730886559.0926914,2145000,-1.4272515773773193
1730886610.7289498,2160000,-1.7080885171890259
1730886642.0844777,2175000,-1.1961725950241089
1730886716.0774748,2190000,-1.0232445001602173
1730886746.6768641,2205000,-1.8686308860778809
1730886775.760545,2220000,-1.589828610420227
1730886801.972874,2235000,-1.056599736213684
1730886825.8740377,2250000,-1.4816479682922363
1730886861.7672906,2265000,-2.4334917068481445
1730886912.9099345,2280000,-1.776814579963684
1730887016.0137324,2295000,-1.2061524391174316
1730887181.0518007,2310000,-1.7710416316986084
1730887230.7388294,2325000,-1.8412283658981323
1730887276.5374224,2340000,-2.238309144973755
1730887323.5350733,2355000,-1.389265775680542
1730887379.2769728,2370000,-2.1826589107513428
1730887410.5558286,2385000,-2.051238536834717
1730887459.4044852,2400000,-2.5729751586914062
1730887533.8796868,2415000,-1.7925759553909302
1730887579.4645333,2430000,-1.6104040145874023
1730887606.9902394,2445000,-1.3315157890319824
1730887632.438188,2460000,-0.9232051372528076
1730887658.251692,2475000,-1.3804798126220703
1730887682.439019,2490000,-2.1743276119232178
1730887833.4338677,2505000,-1.5172065496444702
1730887911.8500314,2520000,-1.3169419765472412
1730888076.6145499,2535000,-1.253244161605835
1730888212.4207613,2550000,-1.6589757204055786
1730888279.2031996,2565000,-1.585517168045044
1730888298.5594845,2580000,-2.1612932682037354
1730888317.453867,2595000,-0.6195263862609863
1730888335.2638972,2610000,-2.0906355381011963
1730888352.2177184,2625000,-1.7008206844329834
1730888369.7813613,2640000,-1.3267769813537598
1730888394.7334595,2655000,-1.520089864730835
1730888414.6360605,2670000,-1.4701259136199951
1730888432.090171,2685000,-2.2061829566955566
1730888460.1136117,2700000,-2.789367437362671
1730888484.0094862,2715000,-1.744394063949585
1730888510.3198965,2730000,-1.712610125541687
1730888536.6020455,2745000,-2.199772834777832
1730888564.1683044,2760000,-1.0340843200683594
1730888589.1505134,2775000,-1.3438525199890137
1730888614.7030551,2790000,-1.8917577266693115
1730888643.6036174,2805000,-2.0792007446289062
1730888669.1426146,2820000,-3.203240394592285
1730888700.6103547,2835000,-1.4282073974609375
1730888732.019253,2850000,-1.6223160028457642
1730888762.8794138,2865000,-1.007122278213501
1730888793.1790702,2880000,-1.430362343788147
1730888825.9419062,2895000,-2.251203775405884
1730888855.7890291,2910000,-1.4698108434677124
1730888882.2487137,2925000,-0.7815747857093811
1730888916.83953,2940000,-1.4816471338272095
1730888955.7074337,2955000,-1.2066622972488403
1730889007.499355,2970000,-1.324600100517273
1730889057.5754583,2985000,-0.9496587514877319
1730889105.9158244,3000000,-1.7059507369995117
1730889155.741976,3015000,-1.9228594303131104
1730889209.4410455,3030000,-1.2055246829986572
1730889265.8577387,3045000,-2.2483441829681396
1730889325.7468064,3060000,-1.6854640245437622
1730889373.2910385,3075000,-1.9173425436019897
1730889423.3319087,3090000,-2.1425251960754395
1730889472.8599098,3105000,-2.5470001697540283
1730889524.304128,3120000,-1.7398728132247925
1730889571.6604476,3135000,-1.367714524269104
1730889623.2714055,3150000,-2.108064651489258
1730889674.84018,3165000,-0.9752629399299622
1730889725.3134217,3180000,-2.4992144107818604
1730889779.189694,3195000,-2.750051975250244
1730889837.3151484,3210000,-1.2266746759414673
1730889888.3378038,3225000,-1.2543835639953613
1730889939.3947136,3240000,-1.2366262674331665
1730889990.739077,3255000,-2.759471893310547
1730890045.8675694,3270000,-1.700648546218872
1730890106.3257387,3285000,-1.3629926443099976
1730890161.5488763,3300000,-1.1484920978546143
1730890226.55563,3315000,-2.184962511062622
1730890285.94015,3330000,-3.276118755340576
1730890345.8297777,3345000,-1.4379595518112183
1730890398.4104698,3360000,-1.8250141143798828
1730890451.054125,3375000,-1.9131813049316406
1730890503.89343,3390000,-1.7177249193191528
1730890556.1955454,3405000,-1.3240176439285278
1730890607.7051406,3420000,-3.5896620750427246
1730890660.5876231,3435000,-2.1025571823120117
1730890715.2178967,3450000,-1.5139421224594116
1730890765.417155,3465000,-1.7127007246017456
1730890827.5156682,3480000,-2.751927137374878
1730890884.9235418,3495000,-0.9538717269897461
1730890936.992217,3510000,-1.5152904987335205
1730890992.9899874,3525000,-1.782187581062317
1730891046.5894458,3540000,-1.4193240404129028
1730891113.8798778,3555000,-2.2376391887664795
1730891165.2102451,3570000,-2.872793436050415
1730891218.834219,3585000,-1.0914822816848755
1730891280.1335483,3600000,-1.2320477962493896
1730891341.1433203,3615000,-1.9101076126098633
1730891395.772469,3630000,-2.2608461380004883
1730891449.488973,3645000,-1.5499272346496582
1730891502.5304904,3660000,-1.2860310077667236
1730891556.9399195,3675000,-2.1236469745635986
1730891612.2929752,3690000,-1.0238996744155884
1730891666.1115234,3705000,-1.6813161373138428
1730891721.961386,3720000,-2.4436910152435303
1730891776.3889318,3735000,-2.4266018867492676
1730891831.556672,3750000,-1.5123813152313232
1730891919.8023684,3765000,-1.2337087392807007
1730891948.9531705,3780000,-1.93924081325531
1730891976.0843592,3795000,-1.3605141639709473
1730892023.0639415,3810000,-1.5908879041671753
1730892074.0920656,3825000,-0.9314178824424744
1730892118.340902,3840000,-2.5694546699523926
1730892165.2411253,3855000,-1.0204708576202393
1730892211.4539318,3870000,-1.7398655414581299
1730892253.6114829,3885000,-0.7441664934158325
1730892298.3315516,3900000,-1.3879560232162476
1730892342.5143316,3915000,-1.4534600973129272
1730892386.0570006,3930000,-1.672627329826355
1730892430.664363,3945000,-1.755313754081726
1730892478.8934524,3960000,-1.2701038122177124
1730892533.3168838,3975000,-2.606898069381714
1730892576.6738148,3990000,-1.1628355979919434
1730892621.745061,4005000,-3.027602434158325
1730892667.2949662,4020000,-1.9582138061523438
1730892711.787963,4035000,-1.289502501487732
1730892754.8919265,4050000,-1.6494029760360718
1730892799.5933027,4065000,-2.6200180053710938
1730892844.1449726,4080000,-2.7529654502868652
1730892892.973091,4095000,-0.8106144666671753
1730892940.4700308,4110000,-0.8576970100402832
1730892983.015781,4125000,-1.3659600019454956
1730893028.5201447,4140000,-0.7256950736045837
1730893071.947457,4155000,-1.5150554180145264
1730893118.0877533,4170000,-1.5185350179672241
1730893161.5081086,4185000,-1.0267900228500366
1730893207.0054212,4200000,-0.9701542854309082
1730893253.5006492,4215000,-2.8826801776885986
1730893297.3330846,4230000,-1.1873050928115845
1730893343.3764672,4245000,-1.1371781826019287
1730893386.405872,4260000,-1.3960107564926147
1730893433.3614297,4275000,-1.849928855895996
1730893477.7124212,4290000,-2.7263853549957275
1730893523.5399003,4305000,-1.355455994606018
1730893569.930649,4320000,-2.2254552841186523
1730893616.1494439,4335000,-1.3274117708206177
1730893660.4441273,4350000,-0.9522643089294434
1730893706.6219738,4365000,-1.455210566520691
1730893751.32614,4380000,-1.4601982831954956
1730893803.401031,4395000,-0.8609979152679443
1730893846.6222544,4410000,-1.3881769180297852
1730893891.5772293,4425000,-1.9790631532669067
1730893938.6691997,4440000,-1.675676703453064
1730893990.8997223,4455000,-1.3509000539779663
1730894038.998845,4470000,-1.3913049697875977
1730894083.902215,4485000,-1.6167230606079102
1730894130.3463657,4500000,-3.481478452682495
1730894173.3915591,4515000,-1.8766041994094849
1730894220.2558894,4530000,-0.9104412794113159
1730894264.914038,4545000,-3.023926258087158
1730894311.4340947,4560000,-0.9733197689056396
1730894356.100182,4575000,-1.8011560440063477
1730894403.378354,4590000,-1.7559350728988647
1730894451.513971,4605000,-1.9261150360107422
1730894506.5363598,4620000,-1.92081618309021
