2000, -23734.77765701438
4000, -23181.284871419462
6000, -21141.340117514515
8000, -21151.29361937839
10000, -20455.381206398273
12000, -20289.884357845385
14000, -20224.726117891227
16000, -19980.0104306814
18000, -20065.28490135718
20000, -20414.226101465534
22000, -20388.348121271487
24000, -20301.886122368713
26000, -20108.05426416836
28000, -20414.832747952147
30000, -20668.487405107186
32000, -20572.925965178427
34000, -20666.021412548213
36000, -20486.67617569632
38000, -20553.016834068185
40000, -20465.85848631939
42000, -20595.701474416866
44000, -20660.520868765787
46000, -20574.687112828415
48000, -20645.17267033797
50000, -20572.300244267826
52000, -20609.750505297463
54000, -20555.788105925265
56000, -20468.117543347325
58000, -20456.06207935658
60000, -20433.45206174951
62000, -20422.282562862725
64000, -20408.06844250474
66000, -20377.061655676844
68000, -20314.472553308486
70000, -20428.83569191552
72000, -20436.11224185504
74000, -20313.04053542515
76000, -20387.70344764421
78000, -20436.66465519336
80000, -20535.076734059778
82000, -20511.179921919123
84000, -20449.435814054246
86000, -20456.862891145774
88000, -20513.485409396308
90000, -20498.508378171176
92000, -20448.240153881357
94000, -20397.55132083046
96000, -20375.82807446087
98000, -20413.72026278283
100000, -20329.90948591924
102000, -20336.94009514204
104000, -20362.16394805618
106000, -20389.365661132524
108000, -20324.792944902765
