Wall time,Step,Value
1730927217.5558476,30000,0.006186419632285833
1730927232.8781884,45000,-0.005611895117908716
1730927249.0166957,60000,-0.010101929306983948
1730927263.3249128,75000,-0.010303557850420475
1730927277.8084557,90000,-0.009790820069611073
1730927294.5507994,105000,-0.013865634799003601
1730927323.6767344,135000,-0.014702828601002693
1730927338.1369479,150000,-0.01827557571232319
1730927352.0479214,165000,-0.015343781560659409
1730927367.0403507,180000,-0.016005730256438255
1730927381.09022,195000,-0.014775803312659264
1730927396.1256187,210000,-0.013258932158350945
1730927426.9658413,240000,-0.013303563930094242
1730927449.3676894,255000,-0.011792332865297794
1730927471.7081995,270000,-0.016185153275728226
1730927487.7105284,285000,-0.01473438460379839
1730927502.278041,300000,-0.012212567031383514
1730927517.1026983,315000,-0.01503401156514883
1730927551.001511,345000,-0.01256818138062954
1730927567.8686967,360000,-0.013765836134552956
1730927582.7109826,375000,-0.012167075648903847
1730927601.649622,390000,-0.012228988111019135
1730927617.424726,405000,-0.012463610619306564
1730927632.0521393,420000,-0.01607007533311844
1730927665.074774,450000,-0.011630348861217499
1730927679.4950714,465000,-0.013192226178944111
1730927695.823172,480000,-0.01322559267282486
1730927710.8776522,495000,-0.01464324351400137
1730927725.3366745,510000,-0.016981255263090134
1730927741.8198824,525000,-0.014036457054316998
1730927774.741279,555000,-0.014335843734443188
1730927789.8058388,570000,-0.01210158783942461
1730927808.8548462,585000,-0.011438104324042797
1730927830.7797656,600000,-0.01278118696063757
1730927859.8521307,615000,-0.012301282025873661
1730927875.5725121,630000,-0.00999790895730257
1730927909.704694,660000,-0.015595016069710255
1730927927.8841546,675000,-0.013823442161083221
1730927949.883466,690000,-0.01341180969029665
1730927969.4228477,705000,-0.013881195336580276
1730927987.9402227,720000,-0.012785340659320354
1730928006.8081968,735000,-0.014569922350347042
1730928037.1035771,765000,-0.016923315823078156
1730928051.5846555,780000,-0.017273765057325363
1730928065.3393703,795000,-0.01447322592139244
1730928081.436769,810000,-0.016771912574768066
1730928100.0889094,825000,-0.012767985463142395
1730928118.9990013,840000,-0.013583789579570293
1730928155.1926765,870000,-0.013964429497718811
1730928169.2102482,885000,-0.01598578877747059
1730928183.031295,900000,-0.01393736433237791
1730928201.1585279,915000,-0.015448073856532574
1730928216.838366,930000,-0.013147207908332348
1730928236.3325067,945000,-0.016826776787638664
1730928268.440139,975000,-0.011708220466971397
1730928286.4893954,990000,-0.016824062913656235
1730928302.7235558,1005000,-0.015665333718061447
1730928321.4155445,1020000,-0.014654924161732197
1730928339.1751032,1035000,-0.019483311101794243
1730928357.9399135,1050000,-0.01624768227338791
1730928386.5080702,1080000,-0.015653328970074654
1730928400.4215643,1095000,-0.011847518384456635
1730928418.1814737,1110000,-0.014487721025943756
1730928438.0821097,1125000,-0.011035661213099957
1730928456.1960363,1140000,-0.013600018806755543
1730928469.9095778,1155000,-0.014454067684710026
1730928500.1367285,1185000,-0.009837700054049492
1730928514.6626863,1200000,-0.01454034075140953
1730928529.3128593,1215000,-0.015452723018825054
1730928546.5586536,1230000,-0.014314783737063408
1730928560.4422553,1245000,-0.014335650950670242
1730928575.154757,1260000,-0.013870318420231342
1730928603.1492019,1290000,-0.014424112625420094
1730928617.155898,1305000,-0.012748116627335548
1730928630.7795858,1320000,-0.014066241681575775
1730928644.4328282,1335000,-0.016575179994106293
