Wall time,Step,Value
1730805966.0793126,12000,784.9038696289062
1730805970.207624,18000,2.2887797355651855
1730805974.2397597,24000,3.175593614578247
1730805978.4145045,30000,2.081850051879883
1730805982.6726484,36000,1.7847522497177124
1730805986.8479517,42000,1.492753505706787
1730805991.043844,48000,2.3935415744781494
1730805995.3112252,54000,2.115758180618286
1730805999.5286517,60000,2.754664182662964
1730806003.8686655,66000,1.7948886156082153
1730806008.2516155,72000,0.6671886444091797
1730806012.50027,78000,2.0052032470703125
1730806016.6539662,84000,0.6887094974517822
1730806021.1771822,90000,0.28217729926109314
1730806025.652587,96000,-0.04663962125778198
1730806029.9034667,102000,0.042642295360565186
1730806038.9866214,114000,-0.057578057050704956
1730806047.4530885,120000,-0.16030313074588776
1730806051.6272895,126000,-0.14832337200641632
1730806055.8797696,132000,-0.22352242469787598
1730806060.2216444,138000,-0.228204146027565
1730806064.4494138,144000,-0.22173765301704407
1730806068.4112985,150000,-0.26769259572029114
1730806073.2579484,156000,-0.16233016550540924
1730806077.6492643,162000,-0.22800831496715546
1730806081.9608417,168000,-0.25297948718070984
1730806086.2929351,174000,0.16258370876312256
1730806090.6088145,180000,-0.22518610954284668
1730806094.6084948,186000,-0.26112663745880127
1730806098.8432415,192000,-0.19461093842983246
1730806103.087923,198000,-0.22863823175430298
1730806107.8017159,204000,-0.12833386659622192
1730806117.3214626,216000,-0.253603458404541
1730806125.8954556,222000,-0.2816881537437439
1730806139.8688579,228000,-0.2837459146976471
1730806145.6240659,234000,-0.20122212171554565
1730806151.0244718,240000,-0.1849088966846466
1730806157.9089155,246000,-0.2699488699436188
1730806163.1739635,252000,-0.03122270107269287
1730806167.594222,258000,-0.02781692147254944
1730806172.3353934,264000,-0.27778881788253784
1730806177.73807,270000,-0.006316244602203369
1730806186.220779,276000,-0.2752956748008728
1730806190.8553884,282000,-0.21710410714149475
1730806196.5724747,288000,-0.26740291714668274
1730806202.9851,294000,-0.28584569692611694
1730806212.133967,300000,-0.17662334442138672
1730806218.8109698,306000,-0.25528571009635925
1730806231.2604988,318000,-0.25783342123031616
1730806236.2612429,324000,-0.17265740036964417
1730806241.4367883,330000,-0.29528677463531494
1730806245.8234499,336000,0.012640386819839478
1730806249.389232,342000,-0.2031814157962799
1730806253.2083583,348000,-0.2872540056705475
1730806257.252206,354000,-0.16865217685699463
1730806261.8496616,360000,-0.26447242498397827
1730806266.366272,366000,-0.1827932596206665
1730806271.415305,372000,0.40962210297584534
1730806275.93083,378000,-0.2780531644821167
1730806279.7934837,384000,-0.254911333322525
1730806283.6862028,390000,-0.16287100315093994
1730806287.58763,396000,-0.20046618580818176
1730806291.6039786,402000,-0.3070008158683777
1730806297.1283135,408000,-0.2737453877925873
1730806307.505385,420000,-0.24402597546577454
1730806311.4409406,426000,-0.2948705554008484
1730806315.787908,432000,-0.24334794282913208
1730806319.8865798,438000,-0.2779422402381897
1730806323.8498857,444000,-0.29481637477874756
1730806329.1090276,450000,-0.25526750087738037
1730806333.069792,456000,-0.29965901374816895
1730806336.9939945,462000,-0.11452032625675201
1730806341.007563,468000,-0.15116079151630402
1730806344.902677,474000,-0.27721911668777466
1730806348.670689,480000,-0.2736610174179077
1730806353.9165006,486000,-0.17406024038791656
1730806358.303919,492000,-0.25012561678886414
1730806362.498744,498000,-0.1613886058330536
1730806366.476407,504000,-0.1494024097919464
1730806370.4081793,510000,-0.13034433126449585
1730806379.4799547,522000,-0.16926917433738708
1730806383.062256,528000,-0.27673667669296265
1730806387.1445637,534000,-0.30204179883003235
1730806390.8205695,540000,-0.29316771030426025
1730806394.3772883,546000,-0.3162064552307129
1730806397.8774738,552000,-0.32027536630630493
1730806401.5481527,558000,-0.3117520809173584
1730806406.997167,564000,-0.3060551881790161
1730806411.1594174,570000,-0.29054298996925354
1730806417.1581297,576000,-0.30592915415763855
1730806422.671324,582000,-0.3121635615825653
1730806427.0162177,588000,-0.25073331594467163
1730806432.5050762,594000,-0.2884959578514099
1730806438.257616,600000,-0.3153187334537506
1730806443.4858208,606000,-0.27736136317253113
1730806449.7073596,612000,-0.16949176788330078
1730806459.4113588,624000,-0.2294803410768509
1730806463.7337637,630000,-0.2569552958011627
1730806468.346327,636000,-0.3206922709941864
1730806476.5600362,642000,-0.2862873673439026
1730806492.448091,648000,-0.2861577868461609
1730806503.7852056,654000,-0.3142763674259186
1730806512.9375212,660000,0.25313901901245117
1730806518.823383,666000,-0.2531953454017639
1730806523.9364436,672000,-0.2864986062049866
1730806528.1993034,678000,-0.2996586859226227
1730806533.513776,684000,-0.2907065451145172
1730806537.9701455,690000,-0.14868928492069244
1730806542.6929266,696000,-0.09300248324871063
1730806547.2361367,702000,-0.33151066303253174
1730806551.837749,708000,-0.2863353192806244
1730806556.9731371,714000,-0.11217525601387024
1730806565.5911517,726000,-0.3047609031200409
1730806570.0897136,732000,-0.3313988149166107
