Wall time,Step,Value
1730805966.0803092,12000,1373.8927001953125
1730805970.2090514,18000,5.3522047996521
1730805974.2397597,24000,7.7807183265686035
1730805978.415501,30000,5.569273948669434
1730805982.6726484,36000,4.561376571655273
1730805986.8479517,42000,3.1218321323394775
1730805991.0463727,48000,5.455496788024902
1730805995.3112252,54000,5.329225063323975
1730805999.529839,60000,6.210376262664795
1730806003.869667,66000,4.134878635406494
1730806008.2516155,72000,2.421767473220825
1730806012.5012755,78000,4.335813045501709
1730806016.6539662,84000,2.346806764602661
1730806021.1771822,90000,0.8835943937301636
1730806025.6535797,96000,0.5926480293273926
1730806029.9034667,102000,0.699950098991394
1730806038.9887724,114000,0.5227782130241394
1730806047.4543445,120000,0.284673810005188
1730806051.6284015,126000,0.26983699202537537
1730806055.8808124,132000,0.13605192303657532
1730806060.2237027,138000,0.12990805506706238
1730806064.4504378,144000,0.15637795627117157
1730806068.4112985,150000,0.08570484071969986
1730806073.2579484,156000,0.28494054079055786
1730806077.6492643,162000,0.14223405718803406
1730806081.9631286,168000,0.0892823189496994
1730806086.2929351,174000,0.7540304660797119
1730806090.6098878,180000,0.2170349657535553
1730806094.6095276,186000,0.09090138971805573
1730806098.8432415,192000,0.2354392111301422
1730806103.0904121,198000,0.13143447041511536
1730806107.8017159,204000,0.4832463264465332
1730806117.3246703,216000,0.10954751074314117
1730806125.8959584,222000,0.05225684493780136
1730806139.8688579,228000,0.05020987242460251
1730806145.6250637,234000,0.2036881446838379
1730806151.0244718,240000,0.34415745735168457
1730806157.9089155,246000,0.07609473168849945
1730806163.1739635,252000,0.8527615666389465
1730806167.5952182,258000,0.4722776412963867
1730806172.3365371,264000,0.08093110471963882
1730806177.7390664,270000,0.8678642511367798
1730806186.220779,276000,0.0782710537314415
1730806190.8553884,282000,0.16948045790195465
1730806196.5724747,288000,0.16322928667068481
1730806202.9861124,294000,0.04600338637828827
1730806212.133967,300000,0.39618998765945435
1730806218.8121262,306000,0.12673546373844147
1730806231.2634995,318000,0.10596482455730438
1730806236.2612429,324000,0.3084785044193268
1730806241.437877,330000,0.05296875536441803
1730806245.8244462,336000,0.6017817258834839
1730806249.390228,342000,0.2268991619348526
1730806253.210492,348000,0.05404642969369888
1730806257.252206,354000,0.2617834806442261
1730806261.8496616,360000,0.10705795139074326
1730806266.366272,366000,0.2869443893432617
1730806271.415305,372000,1.1841140985488892
1730806275.93083,378000,0.13753975927829742
1730806279.7944806,384000,0.13437411189079285
1730806283.6862028,390000,0.28618478775024414
1730806287.58763,396000,0.27220261096954346
1730806291.6054826,402000,0.04119573161005974
1730806297.1317623,408000,0.1015663892030716
1730806307.5068166,420000,0.14255231618881226
1730806311.4409406,426000,0.05939916521310806
1730806315.789096,432000,0.12865512073040009
1730806319.8865798,438000,0.10623636841773987
1730806323.8498857,444000,0.06063466519117355
1730806329.1090276,450000,0.13398726284503937
1730806333.0707898,456000,0.05773703381419182
1730806336.9954967,462000,0.3436150550842285
1730806341.0085588,468000,0.3468662202358246
1730806344.902677,474000,0.1297130435705185
1730806348.670689,480000,0.13314266502857208
1730806353.9206264,486000,0.2127644270658493
1730806358.3054218,492000,0.18806204199790955
1730806362.4997575,498000,0.5019180178642273
1730806366.476407,504000,0.31995508074760437
1730806370.4081793,510000,0.40595391392707825
1730806379.4809513,522000,0.24845723807811737
1730806383.062256,528000,0.1291692554950714
1730806387.145065,534000,0.0746510848402977
1730806390.8205695,540000,0.0672803595662117
1730806394.3772883,546000,0.03218282386660576
1730806397.8775716,552000,0.031344588845968246
1730806401.5491493,558000,0.05223093181848526
1730806406.997167,564000,0.06046626344323158
1730806411.1594174,570000,0.0825437605381012
1730806417.1591256,576000,0.051529411226511
1730806422.671324,582000,0.04402543231844902
1730806427.0174658,588000,0.14943183958530426
1730806432.5061092,594000,0.12436939775943756
1730806438.2586124,600000,0.06666513532400131
1730806443.48682,606000,0.13694989681243896
1730806449.7073596,612000,0.27772217988967896
1730806459.4123611,624000,0.12726335227489471
1730806463.7337637,630000,0.1690904051065445
1730806468.346327,636000,0.05678315833210945
1730806476.5600362,642000,0.11719650030136108
1730806492.449088,648000,0.12902840971946716
1730806503.7852056,654000,0.06305236369371414
1730806512.9375212,660000,0.9527693390846252
1730806518.8243794,666000,0.21038737893104553
1730806523.9364436,672000,0.09432455152273178
1730806528.1993034,678000,0.10511593520641327
1730806533.513776,684000,0.10755577683448792
1730806537.9701455,690000,0.37999799847602844
1730806542.6929266,696000,0.5785920023918152
1730806547.239519,702000,0.03193095326423645
1730806551.837749,708000,0.10553862154483795
1730806556.9731371,714000,0.3945516049861908
1730806565.592148,726000,0.0840568095445633
1730806570.0897136,732000,0.03157169371843338
1730806574.9083161,738000,0.07353852689266205
1730806579.5052443,744000,0.16681523621082306
1730806584.033537,750000,0.0659363642334938
1730806588.534176,756000,0.6799602508544922
1730806592.9420283,762000,0.4551655650138855
1730806597.079904,768000,0.6966131925582886
1730806601.1449997,774000,0.07834485918283463
1730806605.256452,780000,0.4124912917613983
1730806609.325035,786000,0.19998076558113098
1730806613.2631252,792000,0.09173325449228287
1730806617.2414958,798000,0.041185956448316574
1730806621.9576414,804000,0.509729266166687
1730806626.3161118,810000,0.05810484662652016
1730806630.8433275,816000,0.2302691787481308
1730806639.47517,828000,0.08093958348035812
1730806643.610711,834000,0.3451622426509857
1730806648.0082388,840000,0.13724081218242645
1730806652.4673252,846000,0.07374799996614456
1730806657.0584903,852000,0.2252912074327469
1730806662.8730745,858000,0.28624406456947327
1730806667.4417,864000,0.06432420760393143
1730806671.686118,870000,0.08199121803045273
1730806675.8732665,876000,0.2547188997268677
1730806680.4830186,882000,0.13906487822532654
1730806684.641646,888000,0.06279309093952179
1730806689.1011927,894000,0.21447183191776276
1730806693.6612272,900000,0.13349387049674988
1730806698.034166,906000,0.12264929711818695
1730806702.5927353,912000,0.15039539337158203
1730806707.340921,918000,0.09785693138837814
1730806721.4927177,930000,0.13209106028079987
1730806728.4407027,936000,0.08670684695243835
1730806734.0470865,942000,0.08588462322950363
1730806738.3192484,948000,0.0588749423623085
1730806742.4141655,954000,0.24640923738479614
1730806746.5123022,960000,0.07492569833993912
1730806751.186358,966000,0.23891475796699524
1730806756.0874627,972000,0.12068908661603928
1730806760.4217217,978000,0.2413421869277954
1730806764.481604,984000,0.1659572869539261
1730806768.7901995,990000,0.039282698184251785
1730806773.5600383,996000,0.15145201981067657
1730806779.1863654,1002000,0.09979244321584702
1730806783.7361205,1008000,0.1507950723171234
1730806787.8964636,1014000,0.050050631165504456
1730806792.0084243,1020000,0.46047836542129517
1730806801.6168013,1032000,0.05180678516626358
1730806806.5452437,1038000,0.27268776297569275
1730806811.3367424,1044000,0.1584528386592865
1730806815.9231882,1050000,0.10194126516580582
1730806820.5602932,1056000,0.0616488978266716
1730806825.1414616,1062000,0.05330532416701317
1730806829.3738694,1068000,0.18223850429058075
1730806833.3477747,1074000,0.05214668810367584
1730806837.5691433,1080000,0.07068469375371933
1730806841.7339888,1086000,0.05170803889632225
1730806845.9144423,1092000,0.03880932927131653
1730806849.8611414,1098000,0.09301906824111938
1730806854.1752837,1104000,0.7790342569351196
1730806858.4476554,1110000,0.5821070075035095
1730806862.6231742,1116000,0.39611268043518066
1730806866.7316065,1122000,0.18233859539031982
1730806874.9450862,1134000,0.0574173741042614
1730806879.0244372,1140000,0.14569860696792603
1730806883.0195556,1146000,0.3025066554546356
1730806887.093903,1152000,0.2335512638092041
1730806891.1975217,1158000,0.27950289845466614
1730806895.3463724,1164000,0.08062766492366791
1730806899.311498,1170000,0.16429218649864197
1730806903.2838144,1176000,0.06182066351175308
1730806907.436614,1182000,0.2937789857387543
1730806911.4938197,1188000,0.08253396302461624
1730806915.5310369,1194000,0.02981247752904892
1730806919.7719738,1200000,0.035470686852931976
1730806924.662913,1206000,0.08290273696184158
1730806928.7774203,1212000,0.13789445161819458
1730806933.0190127,1218000,0.0827452763915062
1730806937.7127192,1224000,0.2005579024553299
1730806946.1395671,1236000,0.07673287391662598
1730806950.2993264,1242000,0.22890543937683105
1730806954.3253675,1248000,0.1504858285188675
1730806958.4199498,1254000,0.0862879753112793
1730806962.5890229,1260000,0.06106475368142128
1730806966.6807163,1266000,0.22744299471378326
1730806970.7471848,1272000,0.14895081520080566
1730806974.8283176,1278000,0.46174147725105286
1730806978.8641293,1284000,0.1214580163359642
1730806982.9712887,1290000,0.14045670628547668
1730806987.700024,1296000,0.25267210602760315
1730806992.123737,1302000,0.1495686024427414
1730806997.2160363,1308000,0.4406570792198181
1730807001.2703779,1314000,0.14684705436229706
1730807005.6296396,1320000,0.13950608670711517
1730807009.6410408,1326000,0.46531206369400024
1730807019.1427722,1338000,0.19312922656536102
1730807023.4304159,1344000,0.04272378981113434
1730807027.690091,1350000,0.08880994468927383
1730807031.934378,1356000,0.32280153036117554
1730807036.5485039,1362000,0.21782955527305603
1730807043.3853047,1368000,0.1306154578924179
1730807048.390569,1374000,0.0857723280787468
