Wall time,Step,Value
1730805961.7362785,6000,-7.824371814727783
1730805966.0793126,12000,-6.453603744506836
1730805970.207624,18000,-7.3706512451171875
1730805974.2397597,24000,-7.326158046722412
1730805978.4145045,30000,-6.998160362243652
1730805982.671402,36000,-6.160343647003174
1730805986.8479517,42000,-8.782008171081543
1730805991.043844,48000,-8.567927360534668
1730805995.3112252,54000,-9.023239135742188
1730805999.5286517,60000,-7.648106098175049
1730806003.8676682,66000,-7.101006984710693
1730806008.2516155,72000,-7.5850725173950195
1730806012.50027,78000,-7.464883327484131
1730806016.6539662,84000,-5.646866798400879
1730806021.1771822,90000,-4.755223274230957
1730806025.652587,96000,-3.400216817855835
1730806029.9034667,102000,-2.6499648094177246
1730806034.867551,108000,-2.928980588912964
1730806038.9866214,114000,-1.95710289478302
1730806047.4530885,120000,-1.6992759704589844
1730806051.6272895,126000,-1.8635364770889282
1730806055.8797696,132000,-2.08335280418396
1730806060.2216444,138000,-1.7931164503097534
1730806064.4494138,144000,-1.3133295774459839
1730806068.4103017,150000,-2.3640949726104736
1730806073.2579484,156000,-1.9392378330230713
1730806077.6492643,162000,-1.9691290855407715
1730806081.9608417,168000,-1.735792875289917
1730806086.2929351,174000,-2.1402077674865723
1730806090.6088145,180000,-1.319287896156311
1730806094.6084948,186000,-1.8735660314559937
1730806098.8422437,192000,-1.6847392320632935
1730806103.087923,198000,-2.3840575218200684
1730806107.8017159,204000,-1.7600748538970947
1730806112.5163054,210000,-1.6291522979736328
1730806117.3214626,216000,-1.176545262336731
1730806125.8954556,222000,-1.4065269231796265
1730806139.8688579,228000,-2.099839925765991
1730806145.6240659,234000,-2.7066760063171387
1730806151.0234756,240000,-1.7048962116241455
1730806157.907413,246000,-3.0716938972473145
1730806163.1739635,252000,-2.1388914585113525
1730806167.594222,258000,-1.5606416463851929
1730806172.3353934,264000,-2.723341941833496
1730806177.73807,270000,-1.4871286153793335
1730806186.220779,276000,-1.3500369787216187
1730806190.8548863,282000,-1.59126615524292
1730806196.5724747,288000,-1.1538413763046265
1730806202.9851,294000,-1.531805396080017
1730806212.133967,300000,-1.5865613222122192
